Rating;Content;Date
5;Отличное приложение. Нареканий нет.;2017-08-14
5;Хорошо!;2017-08-14
5;Замечательно, очень удобно. Спасибо!;2017-08-14
5;Молодцы;2017-08-14
5;Все бы не чего но не пойму как накапливать баллы спасибо;2017-08-14
5;Просто и понятно и удобно;2017-08-14
5;Хорошее приложение;2017-08-14
5;Все норм;2017-08-14
5;Хорошо было бы оптимизировать приложение.А то иногда тупит.;2017-08-14
1;Только что скачала и не могу зарегистрироваться, так как не приходят сообщения с паролем. Плюс почему-то приложение не показывается в списке запущенных приложений, приходится каждый раз в меню заходить.;2017-08-14
2;После последнего обновления не заходит с первого раза, выдаёт ошибку сервера. Раньше было нормально.;2017-08-14
5;Класс;2017-08-14
5;Стильный интерфейс не помешал функциональности. Все необходимое для управления финансами есть , программа не зависает и работает корректно даже на старых телефонах (Nexus5). Всем рекомендую.;2017-08-14
5;Всё отлично, хорошая программа;2017-08-14
5;Одним словом, удобно. Здорово, что можно выполнять операции с деньгами, не выходя из дома. Работает без лагов (по крайней мере, у меня), деньги всегда переводились сразу. Рэкомэндую;2017-08-14
5;Очень удобно!;2017-08-14
5;Очень удобное приложение;2017-08-14
5;Норм все;2017-08-14
5;Очень удобно! Не выходя из дома.;2017-08-14
5;Удобно;2017-08-14
5;Спасибо за помощь !;2017-08-14
5;Пользуюсь и очень довольна.спасибо разработчикам;2017-08-14
2;3 раза пыталась зарегится, и не разу не пришло смс сообщение с кодом . Чините.;2017-08-14
5;Приложение работает быстро. Операции с переводами денежных средств удобны и быстры. Легко и удобно просматривать историю платежей.;2017-08-14
5;Все супер;2017-08-14
5;Super;2017-08-14
5;Rrrr;2017-08-14
5;Хорошее приложение, удобное, мне нравится.;2017-08-14
5;Все прекрасно, кроме ввода пин-кода два раза, возможно так и надо, но процесс тормозит. Спасибо, Сбербанк.;2017-08-14
4;Очень удобно;2017-08-14
5;Ррр;2017-08-14
5;всё очень круто,спасибо!!!;2017-08-14
5;Быстро. Удобно;2017-08-14
4;После ввода кода, требует код ещё раз. А сообщение уже после первого раза приходит о входе;2017-08-14
5;Классс;2017-08-14
5;Удобно;2017-08-14
1;Пишет не оригинальная прошивка;2017-08-14
4;Хотелось бы, чтобы была функция как в онлайн-банке Тинькофф, сменить пин прямо в приложении (а то бывает такое, что пин забывается);2017-08-14
2;Для входа приходится вводить пароль 2 раза. При первом вводе приложение пытается зайти но снова вылетает на окно ввода. И так постоянно. Пропала кнопка для входа со сканером отпечатка. Устройство Xiaomi. И так на всех моих android устройствах;2017-08-14
5;Огонь вода;2017-08-14
5;Не много долговато грузится а в остальном доволен, хорошее приложение;2017-08-14
3;Почему список уведомлений доступен без регистрации и его невозможно очистить? Когда добавите платежи через приложение с помощью NFC? В приложении не видна переписка с банком.;2017-08-14
5;. Всегда выручает.;2017-08-14
4;Пользуюсь приложением, удобно!;2017-08-14
5;Отлично;2017-08-14
4;Хорошее приложение, но «антивирус» очень загружает систему.;2017-08-14
5;Хорошая;2017-08-14
1;Не могу подключить, т. к .не приходит смс с кодом, три попытки было и приложение выкидывает в начало и по новой нужно начинать.;2017-08-14
5;Очень удобное, операции проходчт быстро и точно ) Красивый интерфейс!;2017-08-14
3;Сделайте возможность помечать все уведомления как прочитанные. Сейчас в списке уведомлений непонятно, какое из них прочитано, а какое нет (т.е. не прочитанные не выделены жирным шрифтом или еще как-то). Значок о непрочитанных уведомлениях висит над иконкой приложения и раздражает.;2017-08-14
5;Супер;2017-08-14
5;Очень нравится. Быстро, удобно. Огромное спасибо!;2017-08-14
5;Ппроль не приходит по смс;2017-08-14
5;Доволен;2017-08-14
5;Отлично!;2017-08-14
5;Очень доволен Спасибо большое;2017-08-14
1;Жрет батарею в фоновом режиме, то есть загружает процессор в выключенном состоянии.;2017-08-14
5;Ставлю 5. Все удобно! Минус, в том что нет или я ненашел вывод на интернет кошельки;2017-08-14
2;Уже который месяц не исправлена ошибка корректности суммы по остатку задолженности в платежах в службу судебных приставов. Прошу принять меры.;2017-08-14
5;очень удобно;2017-08-14
5;Удобно;2017-08-14
5;Надёжность и удобно;2017-08-14
1;Бесполезный софт! У кого root работать не будет!;2017-08-14
5;Хорошее приложение.Очень удобно всё оплачивать онлайн.;2017-08-14
5;Всё устраивает;2017-08-14
3;Глючит на системе андроид. Вход в приложение осуществляется со второго раза. Приходит смс, что вход выполнен, но опять спрашивает пароль. Со второй попытки вход срабатывает. Делаю вывод, что это из-за двухсимочного телефона. На приложении IOS на ipad работает хорошо, но закрыть он-лайн счета в ipad невозможно.;2017-08-14
5;Обновите приложение до нового дизайна как на iOS;2017-08-14
4;Работает быстро;2017-08-14
5;Очень хорошее приложение;2017-08-14
5;Очень нравиться большая экономия времени не нужно часто ходить в банк;2017-08-14
5;Хорошее приложение, часто выручает;2017-08-14
5;Очень удобное приложение лично для меня;2017-08-14
5;Всё работает, всё устраивает;2017-08-14
2;Почему я несколько дней пытаюсь зарегистрироваться? Он просто не присылает мне код на номер.;2017-08-14
5;Спасибо;2017-08-14
5;Азат Азиатов Все нармально!;2017-08-14
4;Очень удобное приложение. Производит быстрые переводы и отображает всю необходимую информацию. Жаль,что клиентам других банком перевод может идти до 3-5 дней. Но само наличие переводов в другие банки очень радует) так что спасибо, что Вы есть.;2017-08-14
3;При наличии рут прав не работает должным образом. Ограничен функционал. Приходится лезть в систему,чтобы обойти этот МИНУС. отсутствует минус. Почему то при вводе пароля, запрашивает его по 2-3 раза. Периодически жрет батарею. В остальном - нормально.;2017-08-14
5;Отлично мне нравится;2017-08-14
5;Спасибо. Очень удобно и просто.;2017-08-14
5;Всё удобнее и удобнее, но размер не радует.;2017-08-14
5;Все отлично. Я очень довольна;2017-08-14
5;Круто;2017-08-14
5;Работает без проблем;2017-08-14
5;Очень удобно!;2017-08-14
4;Удобно, практично, и, пока, без нареканий.;2017-08-14
5;Доволен как слон!удобно!;2017-08-14
5;Всё нравится,удобно.;2017-08-14
5;👍👍;2017-08-14
4;Иногда вылетает;2017-08-14
5;Очень удобно. Мне все нравится : и интерфейс и скорость работы системы. Но нет предела совершенству )));2017-08-14
5;Дашурик;2017-08-14
5;Супер дизайн;2017-08-14
5;Очень удобное приложение!!!;2017-08-14
5;Нужное приложение. Помогает и экономит время.;2017-08-14
5;Прикольно теперь только телефон и все;2017-08-14
5;Работает;2017-08-14
1;"У меня ещё 600мб свободного место, а всё равно не могу скачать, выдает ""недостаточно мест""";2017-08-14
5;Отличная идея;2017-08-14
5;Все шикарно и удобно;2017-08-14
5;Все гуд;2017-08-14
1;Не проходит регистрация;2017-08-14
5;Все класна;2017-08-14
5;Все хорошо;2017-08-14
5;Пользуясь часто. Удобно;2017-08-14
5;Всё хорошо;2017-08-14
5;Работает. Удобно.;2017-08-14
5;Хорошо;2017-08-14
4;Удобно. Приятно, когда не заходишь на сайт. Но у меня иногда долго загружает приложение, а так все работает прекрасно.;2017-08-14
5;Молодцы!!!!!;2017-08-14
5;Очень удобно;2017-08-14
4;Очень удобно;2017-08-14
4;Приложение хорошее, снизил балл за отношению к Сбербанку в целом;2017-08-14
5;Шикарно .только начал пользоваться. удобно.;2017-08-14
5;Удобно очень;2017-08-14
5;Приятный дизайн, пока нареканий, посмотрим как дальше себя покажет;2017-08-14
5;Очень удобно, пользуюсь год проблем нет;2017-08-14
5;Удобно и быстро;2017-08-14
5;Удобно;2017-08-14
5;Очень удобно когда не дома;2017-08-14
4;Все просто отлично, но очень сильно высаживает телефон.;2017-08-14
4;Приложение хорошее,но иногда вылетает;2017-08-14
5;Хорошее приложение. Всё удобно и быстро;2017-08-14
2;Из за рут прав,;2017-08-14
5;Удобно;2017-08-14
5;Всё очень удобно. Я довольна.;2017-08-14
5;Доволен;2017-08-14
5;И как раньше жили);2017-08-14
5;Круто;2017-08-14
5;👍👍👍;2017-08-14
5;Работает отлично все нравится;2017-08-14
5;Все по делу.Ничего лишнего!;2017-08-14
5;Очень нужное и полезное приложение!;2017-08-14
4;Приложение отличное, но уже два дня не открывается, пишет инициализация антивируса. Подскажите, что делать?!;2017-08-14
5;Вы там охренели что ли? Программа распознаёт половину приложений как вирус и требует удаления;2017-08-14
5;Очень удобное приложение);2017-08-14
5;Отлично;2017-08-14
5;Без этого приложения как без рук...;2017-08-14
5;Преложение очень удобное;2017-08-14
5;Очень удобное приложение, все быстро, спасибо;2017-08-14
5;Проблемы с root правами решена, сбербанк онлайн отлично работает! Спасибо;2017-08-14
1;Предложение постоянно виснет!!!;2017-08-14
5;Удобное приложение;2017-08-14
5;I'm satisfied with this app;2017-08-13
4;Находясь в приложении раздрожают уведомления . Есть только возможность переключить с смс на пуш и наоборот. Было бы хорошо вставить полное отключение уведомлений при нахождении в приложении;2017-08-13
5;Всё круто ! Молодцы!;2017-08-13
3;История плохо обновляется... Не все операции с деньгами показывает;2017-08-13
1;Fly numbus3: приложение не скачивается, выдает ошибку. Крайне не довольна;2017-08-13
5;Отлично..все удобно.;2017-08-13
5;Отличное приложение. Все просто и понятно));2017-08-13
5;Удобно и легко!);2017-08-13
5;Хорошее приложение. Удобно.;2017-08-13
5;Супер удобно;2017-08-13
5;Отлично;2017-08-13
5;Отлично;2017-08-13
5;Всё хорошо;2017-08-13
5;Отличное предложение;2017-08-13
5;Удобно и просто.;2017-08-13
5;Очень крутое приложение;2017-08-13
3;Приложение хорошее, устанавливала на 3-х разных телефонах,минус 2 звезды за то что не могу зайти в приложение на новом телефоне, пишит что не возможно зарегистрироваться, отключите мобильное приложение хотя бы на одном устройстве, как я могу отключить если все 3 телефона не работают.;2017-08-13
5;Удобно;2017-08-13
5;Не могу даже зайти в программу;2017-08-13
5;Все прекрасно работает;2017-08-13
5;Отличное приложение!;2017-08-13
5;Отличное приложение;2017-08-13
5;Все здорого все удобно спасибо вам;2017-08-13
5;Отличное приложение;2017-08-13
5;Захожу в приложение ввожу два раза пароль, что за фигня? И СМС не приходит либо с большим опозданием.;2017-08-13
5;Все нравится;2017-08-13
5;Удобно. Надёжно. Быстро.;2017-08-13
3;Приходится дважды вводить пароль.;2017-08-13
4;Приложение обнаружило файл с крэком для игры. Файл не был запущен, уже удален. Даю приложению разрешение удалить. Результата ноль. Что за фигня-то? Почему не перезапускает проверку? Перезагрузка телефона не помогает. Что делать дальше?;2017-08-13
5;👍👍👍;2017-08-13
5;Приложение с удобным функционалом, но есть небольшие проблемы, при попытке перевести деньги на счёт в другом банке выдает сообщение о том, что перевод на этот счет не возможен, запрещенный счёт, но если ту же самую операцию делать через сайт сбербанка, то таких проблем не возникнет.;2017-08-13
5;Очень удобно .;2017-08-13
5;Удобно, быстро, надёжно;2017-08-13
5;Хороший сбербанк;2017-08-13
5;Збс;2017-08-13
5;Все устраивает;2017-08-13
4;Все хорошо и рационально в приложении и на моей китайской тапочке за 3тыр работает отлично.. Одно немного напрягает, почему-то при входе два раза спрашивает пароль;2017-08-13
5;Круто;2017-08-13
5;Очень удобное приложение.;2017-08-13
5;Удобно;2017-08-13
5;Отлично работает!;2017-08-13
5;Отлично работает;2017-08-13
1;Истекла лицензия пишет !!;2017-08-13
3;Нестабильная работа, ввод пароля необходим 2 раза;2017-08-13
2;После обновления стало работать хуже намного;2017-08-13
5;Спасибо все норм.;2017-08-13
5;Отлично;2017-08-13
1;Невозможно зайти в приложение. Выдает плохое соединение с сетью. Бред, другие приложения прекрасно грузятся. Дерьмо!!!;2017-08-13
5;Спасибо за сервис. Все быстро и качественно. А главное понятно;2017-08-13
1;Не смог скачать!;2017-08-13
5;"все очень удобно. проверяет постоянно на вирус, ""косо смотрит"" на navitel ))). нареканий нет.👍";2017-08-13
3;Хорошее приложение. Все просто понятно и удобно. Бесит только необходимость вводить пароль 2 раза почти всегда. Не знаю с чем это связано.;2017-08-13
5;На отлично;2017-08-13
4;Хорошее приложение;2017-08-13
5;Очень удобно;2017-08-13
5;Всё прекрасно спасибо.;2017-08-13
5;Окей;2017-08-13
5;Очень удобно;2017-08-13
5;Все наглядно и понятно, больше ничего и не нужно!;2017-08-13
5;Быстро ,удобно и просто. Отличное приложение!;2017-08-13
5;Хорошая и очень удобная программа но по палате кредита в другой банк надо до работать;2017-08-13
5;Очень удобно;2017-08-13
5;Удобно,круто;2017-08-13
2;Два дня не могу зайти, не открывает;2017-08-13
5;Отличное приложение сплошная экономия времени😎;2017-08-13
5;Отличное приложение!;2017-08-13
5;Удобное;2017-08-13
5;Весьма доволен. Удобно, просто, быстро;2017-08-13
5;Хорошее приложение;2017-08-13
4;В целом хорошо, но есть над чем поработать.;2017-08-13
5;"Добрый день, почему в ""мой помощник"" не добавляются покупки по карте, только при оплате через androidpay. Приходится в ручном режиме добавлять.";2017-08-13
3;Один раз уже поставил 5звёзд, чтобы больше не вылезало назойловое сообщение с просьбой оценить приложение. Недавно опять стало вылезать, видимо из-за обновления. При чём зачем то сделали три кнопки ответа, из которых две откладывают этот запрос на время, а одна даёт согласие. Кнопка «нет» должна закрывать это сообщение навсегда, значит я НЕ ХОЧУ оценивать его. Снижаю оценку до 3 звёзд. Честно заслужили, считаю. Хотя, в целом приложение постоянно выручает, обидно только что с рутом функционал урезанный.;2017-08-13
1;У меня кастомная прошивка из за чего я не могу пользоваться этой программой. Но вы же гордитесь собой и вашим антивирусом. Так сделайте способ, чтоб рут и кастом проходил проверку. Или вам слабо?;2017-08-13
5;Всё ок.;2017-08-13
1;Скачивал два раза это приложение,каждый раз после загрузки,загрузка начиналась по новой,что за уйня?;2017-08-13
5;Ето супер приложение спасибо вам разработчики 👍👍👍👍;2017-08-13
5;Отлично;2017-08-13
5;Удобно и оперативно.;2017-08-13
5;Спасибо за удобства;2017-08-13
5;Сбербанк всегда рядом! Очень удобное приложение...;2017-08-13
5;Удобное приложение, спасибо Сбербанку;2017-08-13
5;Теперь все в порядке. Ранее были такие проблемы: Как и у многих пользователей пишет, что нет интернета. Проверка рут прав кривая. Отключил root, ни одна другая программа не видит рут, а эта ругается. И не нужна вовсе. Жрет много ресурсов и т.д. И ещё - Зачем вам список моих звонков, контакты, смс и прочая конфиденциальная информация? При игнорировании снесу через неделю. Обновился, было Ок, теперь опять траблы...;2017-08-13
5;Всё отлично;2017-08-13
5;Отличное приложение! ОЧЕНЬ УДОБНОЕ!;2017-08-13
5;Работает;2017-08-13
4;Улучшения заметны,при вводе кода ни сразу открывается ,приходится набирать код снова. А так не плохо .;2017-08-13
5;Oтлично!;2017-08-13
5;Все отлично;2017-08-13
5;Самое крутое;2017-08-13
5;Очень удобное приложение. Плюс усилили защиту. Это радует;2017-08-13
5;Мне все нравиться.;2017-08-13
5;Очень удобно! В любой момент можно воспользоваться услугами Сбербанка.;2017-08-13
5;Приятно порадовала функция считывания штрих-кода!!!;2017-08-13
3;Не открывает после первого ввода пароля приложение. Снова показывает страницу ввода пароля. Исправьте.;2017-08-13
5;Очен хороши предложения ☺;2017-08-13
1;После обновления приложения появились контакты из списка контактов и сразу же перестали работать шаблоны ранее сохраненные - выбрасывает из приложения при входе в шаблоны;2017-08-13
5;Супер!!!;2017-08-13
5;Хорошее приложение.;2017-08-13
4;Lexx;2017-08-13
5;Удобно,при условии на телефоне оригинальной программы;2017-08-13
5;Классная;2017-08-13
2;Ааауууу!! Разработчики!! Почему после обновления, он требует заново вносить данные, но при этом пишет, что отправляет код на смс телефона, а это СМС НЕ приходит!!! У многих так!! И не первый год!! Исправьте это!!! Вы доводить человека до истерики, когда он вынужден многократно посылать запрос на код!!!;2017-08-13
3;Приложение вылетает , войти не могу приходится заходить через интернет;2017-08-13
4;На слабых смартфонах работает не сильно хорошо а так нормальное приложение, довольно таки интуитивный интерфейс;2017-08-13
4;ПРИЛОЖЕНИЕ как приложение для ,удобно ,так и должно быть .;2017-08-13
5;Здравствуйте. Хотел бы сказать спасибо за такое приложение. У меня телефон не дорогой за 11т.р., и все работает стабильно, без лагов и каких либо других замечаний. 5из5 ☺👍;2017-08-13
5;Удобно;2017-08-13
5;Очень удобная программа.;2017-08-13
1;ужасное приложение хочет заставить меня сменить сеть. заходил с мегафона;2017-08-13
5;Шик блеск);2017-08-13
5;Всё супер;2017-08-13
5;Всё хорошо;2017-08-13
5;Хорошее приложение. Работает четко и быстро. Спасибо.И через год работает всё также. Спасибо.;2017-08-13
5;Класс;2017-08-13
1;Почему в приложение можно зайти с 100 раза? Что случилось? Зачем приложение которое не работает? Все равно приходится использовать компьютер.;2017-08-13
4;Вроде неплохо.;2017-08-13
5;Отличное приложение!!!;2017-08-13
5;Кул;2017-08-13
1;"Установлено приложение на телефон жены, Asus max 3 т.к. у меня стоят root-права. Телефон чистый, без вмешательства. Андройд 7 стоит. Вчера пытался войти в приложение, писал что, сервер не отвечает. Это происходило на протяжении всего дня. Что за бредовая программа? Постоянные ""улучшения"" приводят только к сбоям работы телефона и интернета!!! Разрабы, приложения должны улучшаться, а не быть мусором в телефоне, как в вашем случае. Из за этого я не смог оплатить вчера покупку онлайн, и потерял скидку!!!! Да и ещё, не могу получить смс подтверждение от сайта банка, при входе онлайн. Это вообще бредятина!!!";2017-08-13
5;Подключил недавно,пока все отлично!;2017-08-13
4;Особых проблем не возникало, за исключением нескольких случаев невозможности подключения к серверу.Приложение хорошо работает.;2017-08-13
5;Вполне сносно;2017-08-13
5;хорошее приложение;2017-08-13
5;Раньше приложение работало, а теперь даже не запускается.... Антивирус чего-то там нер закончил и судя по всему уже не закончит никогда. Соединение создать не может. Добавляю: Установил по необходимости снова, с третьего раза запустилась проверка на вирусы. После проверки всё заработало. Будем посмотреть... Добавляю: Поменял смартфон - полёт нормальный, пока нареканий нет.;2017-08-13
5;Mm;2017-08-13
2;Приложение загружается слишком долго. Так же, не хватает виджета, отображающего текущий баланс карты.;2017-08-13
5;Отличный программы;2017-08-13
5;Доволен этим приложением ставлю лайк;2017-08-13
5;Очень удобный интерфейс, проблем пока не встретила;2017-08-13
5;Все хорошо;2017-08-13
4;"4 звёзды только из-за вкладки ""кредиты"" имхо она бесполезна.";2017-08-13
5;Чёткое приложение!;2017-08-13
5;Очень удобно и быстро;2017-08-13
5;Харошие приложение очень удобное;2017-08-13
5;Хорошее приложение, иногда висит...;2017-08-13
5;Очень удобное предложение;2017-08-13
5;Очень удобно спасибо;2017-08-13
5;Все удобно, часто пользуюсь приложением;2017-08-13
3;Не могу пополнить баланс телефона;2017-08-13
5;Все супер пока!;2017-08-13
5;Хорошая приложение с ним можно ложить деньги;2017-08-13
5;Отличное приложение;2017-08-13
4;Желают доброго дня, ночи, вечера, утра. Хоть кто то;2017-08-13
5;Класс но чюток логает;2017-08-13
1;Написал что соединение небезопасно, и теперь из всех функций только перевод между счетами и оплата мобильного... Что можно сделать? Как вернуть обратно все? Не могу посмотреть полную выписку счёта.....;2017-08-13
5;Мне нравится!;2017-08-13
4;Хорошо;2017-08-13
5;Класс все нравиться;2017-08-13
5;Супер мне нравиться очень и быстро;2017-08-13
5;Молодцы;2017-08-13
5;Только начал пользоваться мобильным банком и вполне удобное приложение, конечно почитав негативные коменты о проблемах, связанных с М.Б. понимаю, что ничего идеального нет, но и так сойдет!)) пока, что так сойдет для начала, вот!;2017-08-13
1;После обновления вирус проверить не может .и как следствие приложение не работает;2017-08-13
5;Спасибо!;2017-08-13
5;Все гуд;2017-08-13
5;Очень удобное приложение! Рекомендую! Работает стабильно без зависаний, сменив не один телефон работает как часы. Учень выручает, т.к банкоматы зачастую не доступны.;2017-08-13
5;Привет всем приложение очень удобное и быстро всё оплатить и ни куда не надо ходить;2017-08-13
5;Супер;2017-08-13
5;Хорошая приложуха;2017-08-13
5;Замечательное приложение. Сильно облегчило жизнь.;2017-08-13
3;не очень;2017-08-13
5;Отлично работает);2017-08-13
5;All right!!;2017-08-13
1;Приложение так, пойдёт... Есть вопрос: в чем смысл ограничения (фактически запрета!) на root-устройства, если они все равно могут делать все то же самое с браузера, только с кучей неудобств?! P.S. Хожу со стоком, не люблю прошивки, просто не понимаю эти загоны недобанка. Как и тот дебилизм, что в приложении нельзя посмотреть номер своей карты (это, типа, небезопасно?), хотя можно отправлять с неё средства, можно отправить данные по ней: корр. счёт, БИК и т.п. Но вот номер карты - нельзя! Надо идти за картой, если необходим ее номер. А сам банк - это вообще вонючая шарага! И нет альтернативы, потому что у других банкоматов по одному на район в лучшем случае.;2017-08-13
5;Приложение удобное! Большое спасибо!;2017-08-13
5;Очень удобно!;2017-08-13
4;Норм Но чего то не хватает,и хватит мне навязывать услуги.;2017-08-13
5;незаменимое приложение;2017-08-13
1;Дорогие разработчики ,у меня возникла проблема с установкой сбербанка онлайн,при самой установке мне выбрасывают код ошибки 24 почему так,исправьте пожалуйста, спасибо.;2017-08-13
5;Очень приятно, мне очень нравится!!!;2017-08-13
1;проблемы со входом в приложение. И хватит превращать приложение в циклопа, уже весит больше 100 мегабайт. До сих пор не ведется баланс по картам и счетам, нужно рыться в СМС. Странички открываются медленно, иногда по минуте ждешь. Вы ребята обнаглели в конец. Samsung galaxy s8;2017-08-13
5;Очень удобное преложения;2017-08-13
5;Очень удобный интерфейс и легко переводить деньги на счёт другим абонентам;2017-08-13
5;Пользуюсь 3 года,sony z3,никаких проблем за всё время не было,даже с антивирусом который включили в приложение.Единственное бывает что приходится вводить пин код дважды,но это думаю из-за связи.Сейчас установил на sony sola 2012года с андроид 4.0.4 ,всё прекрасно работает.;2017-08-13
